key,value,date
24N.44N,-21,1923
24N.44N,-16,1924
24N.44N,-11,1925
24N.44N,-18,1926
24N.44N,-9,1927
24N.44N,-18,1928
24N.44N,-33,1929
24N.44N,-5,1930
24N.44N,-10,1931
24N.44N,-15,1932
24N.44N,-8,1933
24N.44N,-8,1934
24N.44N,-11,1935
24N.44N,-21,1936
24N.44N,2,1937
24N.44N,6,1938
24N.44N,10,1939
24N.44N,-10,1940
24N.44N,7,1941
24N.44N,15,1942
24N.44N,16,1943
24N.44N,14,1944
24N.44N,6,1945
24N.44N,20,1946
24N.44N,6,1947
24N.44N,2,1948
24N.44N,7,1949
24N.44N,4,1950
24N.44N,12,1951
24N.44N,18,1952
24N.44N,15,1953
24N.44N,-1,1954
24N.44N,23,1955
24N.44N,-10,1956
24N.44N,-11,1957
24N.44N,12,1958
24N.44N,2,1959
24N.44N,10,1960
24N.44N,17,1961
24N.44N,14,1962
24N.44N,13,1963
24N.44N,-11,1964
24N.44N,-11,1965
24N.44N,8,1966
24N.44N,-6,1967
24N.44N,-8,1968
24N.44N,-15,1969
24N.44N,-6,1970
24N.44N,-10,1971
24N.44N,-22,1972
24N.44N,2,1973
24N.44N,-18,1974
24N.44N,-6,1975
24N.44N,-28,1976
24N.44N,7,1977
24N.44N,-3,1978
24N.44N,9,1979
24N.44N,2,1980
24N.44N,9,1981
24N.44N,-8,1982
24N.44N,-6,1983
24N.44N,-12,1984
24N.44N,-1,1985
24N.44N,4,1986
24N.44N,14,1987
24N.44N,23,1988
24N.44N,27,1989
24N.44N,48,1990
24N.44N,28,1991
24N.44N,-2,1992
24N.44N,-8,1993
24N.44N,43,1994
24N.44N,33,1995
24N.44N,13,1996
24N.44N,26,1997
24N.44N,68,1998
24N.44N,77,1999
24N.44N,56,2000
24N.44N,71,2001
24N.44N,58,2002
24N.44N,52,2003
24N.44N,68,2004
24N.44N,56,2005
24N.44N,67,2006
24N.44N,69,2007
24N.44N,61,2008
24N.44N,67,2009
24N.44N,74,2010
24N.44N,57,2011
24N.44N,73,2012
24N.44N,68,2013
24N.44N,76,2014
EQU.24N,-26,1880
EQU.24N,-5,1881
EQU.24N,-12,1882
EQU.24N,-25,1883
EQU.24N,-21,1884
EQU.24N,-11,1885
EQU.24N,-24,1886
EQU.24N,-24,1887
EQU.24N,7,1888
EQU.24N,-3,1889
EQU.24N,-35,1890
EQU.24N,-8,1891
EQU.24N,-32,1892
EQU.24N,-43,1893
EQU.24N,-53,1894
EQU.24N,-19,1895
EQU.24N,-2,1896
EQU.24N,13,1897
EQU.24N,-28,1898
EQU.24N,-16,1899
EQU.24N,11,1900
EQU.24N,-3,1901
EQU.24N,-3,1902
EQU.24N,-27,1903
EQU.24N,-45,1904
EQU.24N,-15,1905
EQU.24N,-22,1906
EQU.24N,-33,1907
EQU.24N,-45,1908
EQU.24N,-50,1909
EQU.24N,-54,1910
EQU.24N,-47,1911
EQU.24N,-33,1912
EQU.24N,-45,1913
EQU.24N,-12,1914
EQU.24N,2,1915
EQU.24N,-47,1916
EQU.24N,-70,1917
EQU.24N,-32,1918
EQU.24N,-23,1919
EQU.24N,-40,1920
EQU.24N,-30,1921
EQU.24N,-35,1922
EQU.24N,-33,1923
EQU.24N,-26,1924
EQU.24N,-22,1925
EQU.24N,1,1926
EQU.24N,-12,1927
EQU.24N,-14,1928
EQU.24N,-26,1929
EQU.24N,-9,1930
EQU.24N,6,1931
EQU.24N,-17,1932
EQU.24N,-29,1933
EQU.24N,-28,1934
EQU.24N,-20,1935
EQU.24N,-6,1936
